BRB; Bertas Reisebesen
LDS; Land der Sonne
LDS; Lauter dumme Säue
BAR; Bauer auf Rädern
PM; Palma de Mallorca
PM; Pumuckel
OHV; Ossis haben Vorfahrt
HVL; Hilfloser vom Lande
SRB; Stasirandbezirk
RA; Rabenaas 
MK; Märklin
HO; Hansa
MO; Mensch Oma 
MG; Magengeschwür
HN; Hohle Nuss 
DU; Du Ungeheuer 
KK; Korinthenkacker 
B; Blöd
HVL; Hans vom Land
LM; Lutsch Mutti
DM; Dumme Menschen 
B; Boulette 
NEA; Noch ein Armloch
LDS; Land der Säufer
SIM; Sand im Motor
IZ; Idiotenzentrum
BD; Bundesdeppen 
TR; Total rücksichtslos
GP; Gewaltiger Penner 
HER; Hoppla er rollt
MM; Macht Mist 
AA; Achtung Anfänger
FB; Friedberger Bauer
ME; Mein Eigentum 
