BRV; Banditen, Räuber, Verbrecher
CLP; Christus lenkt persönlich
WL; Wilder Landwirt
WL; Wilder LAN-Wirt
RH; Reichlich Hektisch
OPR; Ossis, Polen und Russen
HVL; Hengst vom Lande
CB; Campobasso
WL; Waschladung
B; Bauarbeiten
OHV; Oh, Hilfe, verfahren!
HK; Heckler & Koch
N; Nazi
VER; Verwirrte Erdenbürger
GR; Geiler Russe
OSL; Ost-Sächsische Lumpen
OSL; Ossilanten
LOS; Leben ohne Suff
HL; Hirnlos
BH; Blöde Hühner
HST; Halb so toll
PW; Polnischer Wagen
ZI; Zu Intelligent
WSW; Wilde Sachsenweiber
GR; Geile Ratte
SDT; Saudumme Technik
SDT; Schlecht durchdachte Technik
TO; Tote Oma
VG; Voll Geil
EE; Extrem Eilig
LIB; Lahm im Bett
RG; Russen-Gemeinde
SN; Schön Neugierig
DD; Dumme Dresdner
GT; Guter Trinker
NU; Nicht unmöglich
HA; Hagener Asse
SL; Sehr Langsam
NB; Nur Bekloppte
