OSL; ohne Sonne leben
CB; Chaotenbube
BIR; Bin im Recht
LDS; Land der Spinner
GHA; Geithen hat zwei lange Seiten
SPN; Specknüschel
PB; Pissbirne
IN; IN ist in
L; Lappen
EMS; Einer muss sterben
FRG; Freie Renngemeinschaft
AK; Aaler Klous
MSP; Messerspitze
HF; Heißer Flitzer
DH; Dorfhirni
NR; Nette Rheinländer
FFB; Fahrer fährt blöd
OG; Oberglauer
FT; Fahruntüchtiger Trödler
NT; Nieten
SB; Selbsbedienung
LDS; Land der Sachsen
LL; Lauter Lumpen
OB; Ohne Brain
RP; Rowdy Pfälzer
RP; Rüpelpfälzer
RP; Rheinpisser
F; Freiraum
OF; Null Frankfurt
HU; Hungerleider
TBB; taub, blind, blöd
OF; die Null vor Frankfurt
MI; Minister Idiot
RM; Rasenmäher
TF; Tortenfresser
TS; Turboseppl
