0; 0 Ahnung
AA; Alte Arschlöcher
AH; Altenheim
AH; Alte Hirne
AIC; Allgemeiner Idiotenclub
ALF; Außerirdische Lebensform
AS; alte Schlaferer
B; begabt
BAR; Bulle am Randalieren
BLK; Blinker links kaputt
BLK; Beklopptenlandkreis
BN; Bonner Narr
BÖ; Behelfs Österreicher
BOR; Bauer ohne Rücksicht
BRA; Bauer rechts ab!
BS; Bald Schrott
BS; Besengte Sau
BF; BleiFuß
BSB; Besoffene Bauern
BT; Blöder Trottel
BT; Blinde Tunte
BT; bin traumatisiert
BT; Blaue Tanne
BT; Bayern Trottel
BU; Bauer unterwegs
BÜR; Bauern überholen rechts
BÜR; Bauer übt Rally
BÜZ; bin überzuckert
COE; Chaos ohne Ende
CLP; Clericales LumpenPack
CLP; Charakterloser Perverser
D; Dussel
D; Deppenhausen
DA; Dämlicher Anfänger
DE; Deutsche Elite
DAN; Dein Ableben naht
DBR; Dumme Bauern rasen
DBR; Der blöde Rest
DBR; Dummer Bauer reist
DBR; Dorf bei Rostock
DBR; Dumm, Brutal, Rücksichtslos
DBR; Dumme, blöde Rasselbande
DD; Dummer Dussel
DE; Dummer Esel
DH; Dummer Hund
DH; Doller Hecht
DLG; Deutschlands letzte Gegend
DN; Dumme Nuss
DÜW; Depp übt wieder
DÜW; Doofe üben wieder
DÜW; Dann üb weiter
DÜW; Dummer überdrehter Winzer
DUD; dauernd unter Doofen
DZ; Dorf Zombies
DZ; Dämliche Zicken
DZ; Dumme Zecken
EA; Echtes Arschloch
EE; Einsame Else
EE; Extrem Eilig
EBE; Esel bleibt Esel
ED; Entsprungener Depp
EIC; Echt irre Christen
EL; Entwicklungsland
EL; Einweglasche
EM; Ewig meschugge
EN; Europas Nieten
ERB; Erste Rate bezahlt
ERH; Erlangen-Hinterland
ES; Ersatz-Stuttgarter
ESA; Eisenacher sucht Aldi
ESW; Eine Sau weniger
ESW; Ehrlich Schon Westen
EU; Esel unterwegs
EW; echt widerlich
FB; Frankfurter Bauer
FB; Ferkelbauer
FB; Früher Büdingen 
FB; Ferkehrsbehinderer
FD; Fahrer döst
FDS; Fahr, Du Seggl!
FF; Falscher Fuffziger
FFB; Fahrer fährt blind
FFB; Fahrer fährt besoffen
FFB; Fahrer fährt bescheuert
FFB; Fünf Flaschen Bier
FN; Führerschein Nebensache
FO; Fahrender Ochse
FO; Für Ossis
FOR; Für Ossis reichts
FOR; Fährt ohne Reifen
FR; Fahrender Rambo
FR; Fieser Raser
FR; Fundiger Raudi
FRI; Fahr rechts Idiot
FS; Fährst scheisse
FÜ; Fahrer übt
GAP; Geh Aufs Pedal!
GAP; Größter Anzunehmender Penner
GAP; Gutes aus Polen
GER; Gauner, Einbrecher und Räuber
GF; Geisterfahrer
GF; Gefährlicher Fahrer
GG; Grosse Gefahr
GG; Göttergate
GG; Grimmige Geisel
GG; Geiler Gockel
GG; Great Gangster
GG; Großer Gauner
GK; Geisteskranker
GL; Gottes Lieblinge
GL; Gesetzlose 
GL; Gehirnlose
GL; Gefahr lauert
GL; Gottloser
GM; grosses Meerschweinchen, Grossmutter
GM; Grossmutter
GS; Gefährlicher Sonntagsfahrer
GS; Gesengte Sau
GTH; go to hell
GV; Gemeiner Verbrecher
GV; Großverbraucher
GV; Güterverkehr
GW; Grausame Wilde
GW; Gehirn weg
GZ; Gehirn zuhause
GZ; Gefahrenzone
HAL; Halbaffe
HAL; Halbmensch
HAL; Hirnamputierter am Lenker
HAS; Hirni am Steuer
HAS; Heute auch schrecklich
HB; Halb Besoffener
HB; Heiliger Bimbam
HBN; Habe nichts
HBN; Honneckers böse Nachkommen
HD; Halbdeppen
HD; Hohler Dummkopf
HEI; Hilfe ein Idiot
HG; Höchste Gefahr
HG; hirngeschädigt
HGW; Halbes Gehirn weg
HH; Halbes Hirn
HH; Halbes Hähnchen
HI; Halb-Idiot
HIG; Habe Information geliefert
HL; Hamburg Land
HN; Hirn nutzen
HO; Hornochse
HO; Halber Ossi
HOM; Hirn Ohne Masse
HP; Heckenpisser
HP; Heisse Piste
HP; Hirnloser Penner
HP; Hirn-Patient 
HP; Halbe Portion 
HP; Heil- und Plegeanstalt
HR; Hirnlose Rindviecher
HR; Hessisches Rindvieh
HR; Hessen Ranger
HR; Hinterm Ratio
HRO; Hirnlos rasen Ossis
HS; Heisse Sau
HS; Hirnloses Schwein
HSK; Hilfe, Sie kommen
HSK; Hilfe, Sauerländer kommen
HSK; Huch, sie kommen
HSK; Hör nichts, Seh nichts, Kann nichts
HSK; Halb so Klug
HSK; Hochsauerlandkasper
HSK; Huren, Säufer, Kriminelle
HSK; HalbStarKe
HU; Hessisch Uganda
HU; Hampelmänner unterwegs
HVL; Hirni vorne links
HVL; Hirn VerLoren
IK; Irregeleitetes Kraftfahrzeug
IK; illegaler Kraftfahrer
IZ; Idioten Zone
JEV; Jeder ein Verückter
JL; Jammer Lappen
K; Kohlköpfe
K; kölscher Klüngel
KA; Keine Ahnung
KB; Kuh-Bauer
KB; Krüppelbauer
KB; Komplette Blödmänner
KC; Keine Chance
KE; Kepler Enten
KEH; Kein eigenes Hirn
KF; Krimineller Fahrer
KF; Keine Freunde
KG; Kein Geld
KG; Kein Geist
KG; Kein Gehirn
KH; Kein Hirn
KI; Kann immer
KIB; Keiner ist blöder
KLE; Keiner lebt ewig
KÖT; Keine öffentliche Toilette
KÖN; Kann öfters nichts
KÖN; Kein öffentlicher Nutzen
KS; kleiner Scheißer
KÜN; Kraftfahrer übt noch
KU; Katastrophen unterwegs
LAU; lauter Arschlöcher unterwegs
LAU; Links Abbiegen Unfall
LB; Lauter Blöde
LBS; Lauter Blöde Sachsen
LBS; Landesbausparksünder
LD; Lauter Deppen
LDK; Land der Könige
LDK; Lahme dumme Krücke
LDK; Lauter Durstige Kerle
LDK; Lauter Dumm-Köpfe
LEV; Leider etwas verrückt
LI; Lauter Idioten
LIP; Lästiger inkompetenter Penner
LIP; Landwirt in Panik
LIP; Leben im Paradies
LL; Lalli, Lahmarschiger!
LN; Lachnummer
LOS; Leben ohne Spass
LOS; Land ohne Sonne
LOS; Liebe ohne Sex
LÖ; Lenkt öfter
LÖ; Lügt öffentlich
LÖ; Lahme Ölschleuder
LP; Lumpenpack
LS; Lästiger Sauerländer
LS; Listiger Sauerländer
LS; Lustiger Sauerländer
LS; Lüsterner Sauerländer
LS; Lahme Schnecke
LSZ; Liebe, Sex und Zärtlichkeit
LU; Looser unterwegs
MA; Müll-Abfuhr
MD; Meilenweit doof
MD; Magdeburger Dorfjacken
ME; Motorisierter Esel
MED; Merkt Euch Das
MGN; Möchtegern
MI; Müllinsel
MI; Mistigel
MIL; Mit Idioten leben
MK; Mistkutscher
MK; Miserabler Kraftfahrer
MK; Märkisch Kongo
MK; MeckerKopp
MK; Merkwürdiger Kreis
MKK; Mich kennt keiner
MKK; Mutter kocht Kaffee
MKK; Mutter kauft Kuchen
MKK; Mein Kleiner Knuffel
MOL; Motor ohne Leistung
MOS; Menschen ohne Strassenkenntnisse
MS; Meistens schicka
MSP; Meespetzer
MTL; Mutantenland
MTL; MuTtis Lieblinge
MZG; Mir zugele gemütlich
NAI; Nichts als Idioten
NB; Nur Bekloppte
NEA; Neandertaler
NEU; Noch ein Unmensch
NEU; Nicht erwachen, untenrum.
NEW; Noch ein Wichser
NF; Neufundland
NF; No Future
NF; Norden Forever
NMS; Nie mit streiten
NMS; Nie Mehr saufen
NOH; Nasen ohne Hosen
NOM; Nimm Oma mit
NVP; Noch vor Polen
NW; Nackte Wahnsinnige
NWM; Nichts Wissender Mensch
OA; Oberarsch
OAL; Oberarschloch
OAL; Ochs am Lenker
OBG; Ossis Brauchen Geld
OD; Ohne Durchblick
OE; ooch eener
OE; Oller Esel
OF; Ohne Führerschein
OF; Ohne Ferstand
OF; Ost-Frankfurt
OF; Ortsteil Frankfurt
OG; Ohne Gehirn
OH; Ohne Hirn
OHA; Oberharzer Arschloch
OHA; Ohne Hirn Angemeldet
OHV; Ohne Hirn und Verstand
OHZ; Ohne Hirn zugelassen
OHZ; Ochsen haben Zeit
OHZ; Ohne Hosen ziehts
OHZ; Oberharte Zecher
OL; Ordentliche Leute
OL;  Oller Lümmel
OK; Ohne Kopf
OK; Ohne Kommentar
OPR; ohne Plan Reisen
OR; Oberrindvieh
OS; Ordinäre Sau
OSL; Oberschlauer Lübbenauer
OVL; Ochs vom Land
OVP; Ochsen von Pommern
OVP; Orte vor Polen
PB; permanente Bremse
PB; perverse Blödmänner
PB; Pennbär
PI; Perverse Irre
PI; Provinzidiot
PI; Pennt immer
PLÖ; Pennt leider öfter
PLÖ; Gott schütze uns vor Wind und Böen und Fahrern aus dem Kreise Plön
PS; Pfälzisch-Sibirien
QLB; Querlenkender Blödmann
RA; Rasende Arschlöcher
RC; Richtiger Chaot
RD; Riesen Dussel
RS; Rasende Sau
RV; Rindviecher
RW; Rasende Wildsau
RZ; Ratenzahler
RZ; Rüde Zeitgenossen
RZ; Rübenzüchter
RZ; Rattenzüchter
SAD; Schwandorf sieht alles doppelt
SAD; Suche Anständige Dame
SAD; So A Depp, Sadisten
SÄK; Schon älteres Kaliber
SÄK; So ärgert Keiner
SB; ständig besoffen
SBK; Selten Bekloppte Kraftfahrer
SBK; SelbsBefriedigungsKiste
SDL; SauDumme Leute
SE; Schöner Esel
SE; sagenhaft eingebildet
SE; Saumäßiger Egoist
SFA; Sau fährt Auto
SFA; Säufer Fährt Auto
SFA; So Fahren Arschlöcher
SFT; Schwein fährt Trabi
SHG; Säufer, Huren und Ganoven
SHG; Seine Hoheit Grüßt 
SHG; Sperrzone heute geöffnet
SHG; Sozialhilfe Gebiet
SHG; Sozialistisches HoheitsGebiet
SHL; Sozialistisches Hinterland
SHL; Schläfer hinterm Lenkrad
SI; Sicherheit inbegriffen
SI; schon infiziert
SI; Sioux Indianer
SK; Strapsknipser
SK; Straßenkasper 
SK; Sackkarre
SL; Schlaue Leute
SLS; Saarländische Landsau
SLS; Saarländische Lenkradsau
SLZ; Stirb langsam, Zoni!
SM; Selbstmörder
SM; Sado-Masochist
SO; Son Ochse
SOK; schlaue Oasis kommen
SON; Sonntagsfahrer
SP; Spinner pennen
SR; Scheißrippe
ST; Süd-Texas
ST; Schweine-Taxi
STA; Scheisse, Totaler Anfänger
STD; Sie töten Dich
STD; Schönster Teil Deutschlands
SU; Sau unterwegs
SU; Suche Unfall
SÜW; Säufer übers Wochenende
SÜW; Spinner üben wieder
SÜW; Saudummer überdrehter Winzer
SW; Sauf weiter
TBB; Taub, blöd, blind
TBB; Tausend blöde Bauern
TDO; Tausend Doofe Ossis
TDO; Taub, dumm, Ossi
TIR; Trottel im Regen
UER; UnterEntwickelte Region
UN; Unfall naht
VB; Vollkommene Blödmänner
VB; völlig blöd
VB; Verkehrsbehinderer
VEC; Verein ehemaliger Christen
VIE; Vollidiot im Einsatz
VIE; Very Important European
VS; Verirrter Schwachkopf
WAF; Wilder Affe fährt
WAF; Wir Armen Fischköpfe
WAK; Wer anders kanns?
WBS; War bei Stasi
WEB; Wieder ein Bekloppter
WOL; Warnung oller Landwirt
WF; Wilder Fahrer
WHV; Wir haben Vorfahrt
WL; Wahnsinniger Landwirt
WL; Wilder Lümmel
