BLK; Blinker links kaputt
BN; Bonner Narr
BÖ; Behelfs Österreicher
BOR; Bauer ohne Rücksicht
BRA; Brake Bauern rechts ab!
BS; Bald Schrott
BS; Besengte Sau
BSB; Besoffene Bauern
BT; Blöder Trottel
BT; Blinde Tunte
BT; Blaue Tanne
BT; Bayern Trottel
BU; Bauer unterwegs
BÜR; Bauern überholen rechts
BÜR; Bauer übt Rally
COE; Chaos ohne Ende
CLP; Clericales LumpenPack
CLP; Charakter-Loser Perverser
D; Dussel
DA; Dämlicher Anfänger
DAN; Dein Ableben naht
DBR; Dumme Bauern rasen
DBR; Der blöde Rest
DBR; Dummer Bauer reist
DBR; Dorf bei Rostock
DBR; Dumm, Brutal, Rücksichtslos
DBR; Dumme, blöde Rasselbande
DD; Dummer Dussel
DE; Dummer Esel
DH; Dummer Hund
DH; Doller Hecht
DLG; Deutschlands letzte Gegend
DN; Dumme Nuss
DÜW; Depp übt wieder
DÜW; Doofe üben wieder
DÜW; Dann üb weiter
DÜW; Dummer überdrehter Winzer
DZ; Dorf Zombies
DZ; Dämliche Zicken
DZ; Dumme Zecken
EA; Echtes Arschloch
ESA; Eisenacher sucht Aldi
EBE; Esel bleibt Esel
ED; Entsprungener Depp
EL; Entwicklungsland
EM; Ewig meschugge
EN; Europas Nieten
ERB; Erste Rate bezahlt
ERH; Erlangen-Hinterland
ES; Ersatz-Stuttgarter
ESW; Eine Sau weniger
ESW; Ehrlich Schon Westen
EU; Esel unterwegs
FB; Frankfurter Bauer
FB; Ferkelbauer
FB; Früher Büdingen 
FB; Ferkehrsbehinderer
FD; Fahrer döst
FDS; Fahr, Du Seggl!
FF; Falscher Fuffziger
FFB; Fahrer fährt blind
FFB; Fahrer fährt besoffen
FFB; Fahrer fährt bescheuert
FFB; Frauen fürs Bett
FFB; fünf Flaschen Bier
FN; Führerschein Nebensache
FO; Fahrender Ochse
FO; Für Ossis
FR; fahrender Rambo
FR; fieser Raser
FR; fundiger Raudi
FS; Fährst scheisse
FÜ; Fahrer übt
GAP; Geh Aufs Pedal!!!
GAP; Größter Anzunehmender Penner
GAP; Gutes aus Polen
GER; Gauner, Einbrecher und Räuber
GF; Geisterfahrer
GF; Gefährlicher Fahrer
GG; Grosse Gefahr
GG; Geiler Gockel
GG; Great Gangster
GK; Geisteskranker
GL; Gottes Lieblinge
GL; Gesetzlose 
GL; Gehirnlose
GL; Gefahr lauert
GL; Gottloser
GM; grosses Meerschweinchen, Grossmutter
GM; Grossmutter
GS; Gefährlicher Sonntagsfahrer, Gesengte Sau
GS; Gesengte Sau
GTH; go to hell
GV; Gemeiner Verbrecher
GV; Großverbraucher
GV; Güterverkehr
GW; Greifswald Grausame Wilde, Gehirn weg
GW; Gehirn weg
GZ; Gehirn zuhause
HAL; Halle Halbaffe
HAL; Halbmensch
HAL; Hirnamputierter am Lenker
HAS; Hirni am Steuer
HAS; Heute auch schrecklich
HB; Halb Besoffener
HBN; Habe nichts
HBN; Honneckers böse Nachkommen
